title,slug,price,old_price,category_id,sub_category,main_image,other_images,description
Mocallure 5 Fold Eyeshadow Book Palette,Mocallure 5 Fold Eyeshadow Book Palette,4000,6000,Cosmetics,Makeup Kit,book1.jpeg,"book2.jepg,book3.jepg,book4.jepg,book5.jepg,book6.jepg","Mocallure 5 Fold Eyeshadow Book Palette
Unleash Your Inner Artist with Our All-in-One Makeup Book Palette!
Elevate your beauty routine with our stunning 5-page makeup palette, designed for effortless glam from day to night!
Whether you're a makeup pro or just starting out, this versatile palette has
everything you need:
Eye shadow: Create endless eye looks with our rich, blendable shades.
Highlighter: Achieve a radiant glow with our luminous highlighter.
Blush: Add a pop of color to your cheeks for a fresh, youthful look.
Concealer: Perfect your complexion with our creamy, full-coverage
concealer.
Lipstick: Complete your look with a bold, long-lasting lipstick.
This all-in-one palette is your go-to for every occasion. Compact and travel-friendly, it fits effortlessly into your purse or makeup bag."
"Mocallure Viral 5 Pages New Version
Butterfly Makeup Book","Mocallure Viral 5 Pages New Version
Butterfly Makeup Book",3900,6000,Cosmetics,Makeup Kit,butterfly1.jpeg,"butterfly2.jpeg, butterfly3.jpeg, butterfly4.jpeg, butterfly5.jpeg, butterfly6.jpeg",
IKT Hair Wax Stick 75gm,IKT Hair Wax Stick 75gm,1170,3000,Hair care,0,ikt.jpeg,ikt1.png,
FV SK Forever Red Ginseng Flawless Foundation,FV SK Forever Red Ginseng Flawless Foundation,999,3000,Cosmetics,Foundation,fv2.jpeg,fv1.png,
Mocallure 5 in 1 Makeup Book Palette - Complete Beauty in One,Mocallure 5 in 1 Makeup Book Palette - Complete Beauty in One,3700,6000,Cosmetics,Makeup Kit,book_1.jpeg,"book_2.jpeg, book_3.jpeg, book_4.jpeg, book_5.jpeg",
Dewy Cheek and Lip Blush Stick Balm,Dewy Cheek and Lip Blush Stick Balm,600,1200,Cosmetics,Blush,dewy1.jpeg,"dewy2.jpeg, dewy3.mp4",
New MocAllure Makeup Look Book 5 Page Kit,New MocAllure Makeup Look Book 5 Page Kit,3700,6000,Cosmetics,Makeup Kit,page1.jpeg,"page2.jpeg, page3.jpeg, page4.jpeg, page5.jpeg, page6.jpeg",
Sunisa Foundation Base Waterproof Mushroom Head Air Cushion,Sunisa Foundation Base Waterproof Mushroom Head Air Cushion,999,1500,Cosmetics,Foundation,head1.png,head2.jpg,
12 Colors Handaiyan Matte Liquid Lipstick Set,12 Colors Handaiyan Matte Liquid Lipstick Set,1999,3000,Cosmetics,lip Gloss,lip1.png,lip2.png,
ICONIC LONDON Illuminator,ICONIC LONDON Illuminator,600,1000,Cosmetics,Highlighter,ico1.png,ico2.png,"DROP EVERYTHING It's the must have product everyone is raving about - from Khloe Kardashian to Jourdan Dunn - get your glow on with our incredible vegan Illuminator drops.
Shade : GLOW: A terracotta toned shimmer that bestows a rich bronze glow
Whether worn alone as an enhancer, or mixed with your foundation, primer or moisturiser to create a 'soft focus' effect, this lends light to dulled, lacklustre complexions, and looks stunning when blended along cheek and brow bones to accentuate the 'high points' of your face
Prep your skin with our RETEXTURISING FACE PRIMER and PIGMENT FOUNDATION STICKS Add drops of your Illuminator to cheekbones, tip of nose, collarbones and cupids bow
This super-versatile product can be added to many products in your makeup bag for a touch of luxe 
Product details
Package Dimensions : 10 x 10 x 4 cm; 200 Grams
Manufacturer : ICONIC LONDON
Country of Origin : Italy
Manufacturer : ICONIC LONDON
Item Weight : 200 g
Net Quantity : 1 count"
Gentle Cleansing & Make-up Removal,Gentle Cleansing & Make-up Removal,950,1500,Cosmetics,Makeup Removal,gentle1.jpeg,gentle2.jpeg,
Veze Styling Head Oil Gel 2-In-1 Hair Styling,Veze Styling Head Oil Gel 2-In-1 Hair Styling,1800,2500,Hair care,0,gel1.jpg,gel2.jpg,"Styling Head Oil Gel 2-in-1 Hair Wax Wax 280ml Mens Hair Styling Tools Gel Strong Hold Hair Styling Gel Spray Gelnature:This pomade is easy to color and wash, with a lasting fresh smell that doesn’t damage hair and isn’t greasy. Natural and comfortable: ingredients contain plant extracts, no scalp irritation, environmentally friendly and harmless to your health.
Specifications:
Name: 2-In-1 Hair Waxing Wax Gel Comb
Applicable people: men
Specifications: normal
Shelf life: 3 years
Hair styling supplies: gel
Net content: 280ml
Packing list:
1 * styling gel
Note:
Due to manual measurement, there is a slight difference. Be patient with product sizes.
Due to lighting and camera angles, there are color differences in the product, please understand."
ME-ON Vitamin C Glow Boosting Cream 50g,ME-ON Vitamin C Glow Boosting Cream 50g,1449,2300,Skin Care,0,vitc1.png,vitc2.png,"Face Cream suitable for all skin types

Instantly combats a dull skin tone and reduces dark spots when used regularly

The lightweight and non-oily formula instantly penetrates the skin to give you an instant glow and fade dark spots."
ME-ON Glycolic Bright Glowing Cream with SPF 30 Brightening,ME-ON Glycolic Bright Glowing Cream with SPF 30 Brightening,1449,2300,Skin Care,0,bright1.jpg,bright2.jpg,"Brighten & Protect Your Skin with ME-ON Glycolic Bright Glowing Cream SPF 30

Unveil a more radiant complexion with ME-ON Glycolic Bright Glowing Cream, infused with Glycolic Acid and SPF 30 for dual-action performance: skin brightening and sun protection. This gentle cream exfoliates dead skin cells, reduces dark spots, and improves texture—while shielding your skin from harmful UV rays."
MEON Aqua Blast Moisturizer,MEON Aqua Blast Moisturizer,1449,2300,Skin Care,0,aqua2.png,aqua1.png,
ME-ON Glycolin Bright Face Serum Glowing,ME-ON Glycolin Bright Face Serum Glowing,1779,2499,Skin Care,0,bright_1.png,,
ME-ON Hyaluronic Acid Serum with Anti Wrinkle Formula,ME-ON Hyaluronic Acid Serum with Anti Wrinkle Formula,1779,2499,Skin Care,0,acid1.jpg,acid2.jpg,"When applied on skin is proven to act on hyperpigmentation, dark spots, oxidative damage like wrinkles, and provide a boost to the natural glow of your skin.
This face serum is thoughtfully formulated for targeted efficacy, safety and all-round results.
No artificial colors, fragrances or essential oils added!
100% vegan, paraben-free, phthalate-free as always"
2-in-1 ME-ON Rice Water and Niacinamide serum & Face-Wash,2-in-1 ME-ON Rice Water and Niacinamide serum & Face-Wash,2500,3500,Skin Care,0,rice1.jpeg,,
Keratin Nutrition Moisturizing & Smooth Hair Growth Shampoo 900ml (XL),Keratin Nutrition Moisturizing & Smooth Hair Growth Shampoo 900ml (XL),2199,3500,Hair Care,0,shampoo1.png,shampoo2.png,"Keratin Nutrition Moisturizing & Smooth Hair Growth Shampoo 900ml is a powerful and effective daily routine solution for stronger and longer hair. 

It is infused with keratin protein
Smoothes the hair cuticles and strengthens weak hair
Repairs damage and reduces breakage
Delivers deep moisturization with moisturizing agents
Hydrates each strand from roots to tip
Leaves hair soft, detangled, and more manageable
Supports healthy hair growth"
Keratin Queen Moisturizing Protein Brazilian Shampoo Silicon & Paraben Free 800ml,Keratin Queen Moisturizing Protein Brazilian Shampoo Silicon & Paraben Free 800ml,2999,3600,Hair Care,0,protein1.png,,
Keratin Queen Moisturizing Protein Brazilian Hair Mask Sulfate Free 1000ml,Keratin Queen Moisturizing Protein Brazilian Hair Mask Sulfate Free 1000ml,2999,3600,Hair Care,0,mask1.png,,
Keratin Creamy Hair Mask Moisturizing & Smooth 1000ml,Keratin Creamy Hair Mask Moisturizing & Smooth 1000ml,2199,3000,Hair Care,0,creamy1.jpeg,creamy2.png,
Keratin Hair Serum,Keratin Hair Serum,1349,2200,Hair Care,0,serum1.png,,
